oq,rvnm,stcd,stnm,tm,wptn,z
16200,13700,长江干流,60106980,三峡水库,1717761600000,6,145.540
16200,长江干流,60106980,三峡水库,1717765200000,4,145.490
16200,长江干流,60106980,三峡水库,1717768800000,4,145.460
13700,长江干流,60106980,三峡水库,1717772400000,5,145.540
13700,长江干流,60106980,三峡水库,1717776000000,5,145.560
12700,长江干流,60106980,三峡水库,1717779600000,5,145.650
12700,13700,长江干流,60106980,三峡水库,1717783200000,6,145.650
12700,长江干流,60106980,三峡水库,1717786800000,5,145.690
12700,长江干流,60106980,三峡水库,1717790400000,6,145.690
12700,长江干流,60106980,三峡水库,1717794000000,4,145.680
12600,长江干流,60106980,三峡水库,1717797600000,5,145.710
12600,长江干流,60106980,三峡水库,1717801200000,4,145.680
12600,13700,长江干流,60106980,三峡水库,1717804800000,6,145.680
12600,长江干流,60106980,三峡水库,1717808400000,5,145.690
11800,长江干流,60106980,三峡水库,1717812000000,5,145.700
9210,长江干流,60106980,三峡水库,1717815600000,5,145.820
9220,长江干流,60106980,三峡水库,1717819200000,5,145.870
9190,长江干流,60106980,三峡水库,1717822800000,5,145.950
9190,13600,长江干流,60106980,三峡水库,1717826400000,5,145.990
9180,长江干流,60106980,三峡水库,1717830000000,5,146.030
10700,长江干流,60106980,三峡水库,1717833600000,4,146.010
14000,长江干流,60106980,三峡水库,1717837200000,4,145.900
14100,长江干流,60106980,三峡水库,1717840800000,4,145.880
14100,长江干流,60106980,三峡水库,1717844400000,4,145.790
14200,13600,长江干流,60106980,三峡水库,1717848000000,4,145.780
14200,长江干流,60106980,三峡水库,1717851600000,6,145.780
14200,长江干流,60106980,三峡水库,1717855200000,4,145.760
13500,长江干流,60106980,三峡水库,1717858800000,5,145.810
13500,长江干流,60106980,三峡水库,1717862400000,4,145.780
11000,长江干流,60106980,三峡水库,1717866000000,5,145.940
11000,13600,长江干流,60106980,三峡水库,1717869600000,5,145.980
10900,长江干流,60106980,三峡水库,1717873200000,5,146.010
10900,长江干流,60106980,三峡水库,1717876800000,5,146.050
10900,长江干流,60106980,三峡水库,1717880400000,5,146.060
10900,长江干流,60106980,三峡水库,1717884000000,5,146.100
10800,长江干流,60106980,三峡水库,1717887600000,4,146.090
10800,13600,长江干流,60106980,三峡水库,1717891200000,5,146.120
10800,长江干流,60106980,三峡水库,1717894800000,5,146.150
10100,长江干流,60106980,三峡水库,1717898400000,5,146.160
8080,长江干流,60106980,三峡水库,1717902000000,5,146.270
8080,长江干流,60106980,三峡水库,1717905600000,5,146.330
8100,长江干流,60106980,三峡水库,1717909200000,5,146.400
8120,13600,长江干流,60106980,三峡水库,1717912800000,5,146.440
8110,长江干流,60106980,三峡水库,1717916400000,5,146.470
9020,长江干流,60106980,三峡水库,1717920000000,5,146.490
12400,长江干流,60106980,三峡水库,1717923600000,4,146.390
12400,长江干流,60106980,三峡水库,1717927200000,5,146.400
12400,长江干流,60106980,三峡水库,1717930800000,4,146.330
12400,14000,长江干流,60106980,三峡水库,1717934400000,5,146.350
12400,长江干流,60106980,三峡水库,1717938000000,5,146.390
12500,长江干流,60106980,三峡水库,1717941600000,4,146.350
11600,长江干流,60106980,三峡水库,1717945200000,5,146.430
11600,长江干流,60106980,三峡水库,1717948800000,5,146.450
10900,长江干流,60106980,三峡水库,1717952400000,5,146.500
10900,14000,长江干流,60106980,三峡水库,1717956000000,5,146.570
10900,长江干流,60106980,三峡水库,1717959600000,5,146.610
10900,长江干流,60106980,三峡水库,1717963200000,5,146.630
10900,长江干流,60106980,三峡水库,1717966800000,5,146.660
10900,长江干流,60106980,三峡水库,1717970400000,5,146.690
10800,长江干流,60106980,三峡水库,1717974000000,5,146.720
10900,14600,长江干流,60106980,三峡水库,1717977600000,5,146.740
10900,长江干流,60106980,三峡水库,1717981200000,5,146.760
10100,长江干流,60106980,三峡水库,1717984800000,5,146.810
8120,长江干流,60106980,三峡水库,1717988400000,5,146.940
8090,长江干流,60106980,三峡水库,1717992000000,5,146.980
8060,长江干流,60106980,三峡水库,1717995600000,5,147.090
8030,14500,长江干流,60106980,三峡水库,1717999200000,5,147.130
8020,长江干流,60106980,三峡水库,1718002800000,5,147.170
8940,长江干流,60106980,三峡水库,1718006400000,5,147.210
12200,长江干流,60106980,三峡水库,1718010000000,4,147.120
12200,长江干流,60106980,三峡水库,1718013600000,5,147.130
12300,长江干流,60106980,三峡水库,1718017200000,4,147.040
12300,14200,长江干流,60106980,三峡水库,1718020800000,5,147.070
12300,长江干流,60106980,三峡水库,1718024400000,5,147.100
