oq,rvnm,stcd,stnm,tm,wptn,z
685,601,汉江,61802700,丹江口水库,1744372800000,5,152.13
685,0,汉江,61802700,丹江口水库,1744376400000,6,152.13
685,0,汉江,61802700,丹江口水库,1744380000000,6,152.13
687,0,汉江,61802700,丹江口水库,1744383600000,5,152.14
683,0,汉江,61802700,丹江口水库,1744387200000,4,152.12
767,0,汉江,61802700,丹江口水库,1744390800000,5,152.13
489,713,汉江,61802700,丹江口水库,1744394400000,6,152.13
500,0,汉江,61802700,丹江口水库,1744398000000,6,152.13
503,0,汉江,61802700,丹江口水库,1744401600000,6,152.13
503,0,汉江,61802700,丹江口水库,1744405200000,5,152.14
506,0,汉江,61802700,丹江口水库,1744408800000,4,152.09
508,0,汉江,61802700,丹江口水库,1744412400000,5,152.13
520,516,汉江,61802700,丹江口水库,1744416000000,6,152.13
503,0,汉江,61802700,丹江口水库,1744423200000,6,152.13
511,0,汉江,61802700,丹江口水库,1744426800000,4,152.11
498,0,汉江,61802700,丹江口水库,1744430400000,6,152.11
480,0,汉江,61802700,丹江口水库,1744434000000,4,152.1
485,369,汉江,61802700,丹江口水库,1744437600000,6,152.1
488,0,汉江,61802700,丹江口水库,1744441200000,5,152.13
486,0,汉江,61802700,丹江口水库,1744444800000,4,152.11
1010,0,汉江,61802700,丹江口水库,1744448400000,6,152.11
1010,0,汉江,61802700,丹江口水库,1744452000000,4,152.1
1040,0,汉江,61802700,丹江口水库,1744455600000,4,152.09
1050,230,汉江,61802700,丹江口水库,1744459200000,4,152.08
1050,0,汉江,61802700,丹江口水库,1744462800000,4,152.07
1050,0,汉江,61802700,丹江口水库,1744466400000,4,152.06
1050,0,汉江,61802700,丹江口水库,1744470000000,6,152.06
1050,0,汉江,61802700,丹江口水库,1744473600000,6,152.06
793,0,汉江,61802700,丹江口水库,1744477200000,5,152.07
792,430,汉江,61802700,丹江口水库,1744480800000,4,152.06
791,0,汉江,61802700,丹江口水库,1744484400000,6,152.06
674,0,汉江,61802700,丹江口水库,1744488000000,6,152.06
673,0,汉江,61802700,丹江口水库,1744491600000,6,152.06
644,0,汉江,61802700,丹江口水库,1744495200000,6,152.06
501,0,汉江,61802700,丹江口水库,1744498800000,6,152.06
503,0,汉江,61802700,丹江口水库,1744506000000,4,152.05
490,0,汉江,61802700,丹江口水库,1744513200000,6,152.05
484,0,汉江,61802700,丹江口水库,1744516800000,6,152.05
485,0,汉江,61802700,丹江口水库,1744520400000,4,152.04
495,217,汉江,61802700,丹江口水库,1744524000000,5,152.05
495,0,汉江,61802700,丹江口水库,1744527600000,4,152.04
875,0,汉江,61802700,丹江口水库,1744531200000,5,152.05
867,0,汉江,61802700,丹江口水库,1744534800000,6,152.05
1040,0,汉江,61802700,丹江口水库,1744538400000,4,152.04
1060,0,汉江,61802700,丹江口水库,1744542000000,4,152.03
1060,322,汉江,61802700,丹江口水库,1744545600000,4,152.02
1060,0,汉江,61802700,丹江口水库,1744549200000,4,152.01
1060,0,汉江,61802700,丹江口水库,1744552800000,6,152.01
1060,0,汉江,61802700,丹江口水库,1744556400000,6,152.01
930,0,汉江,61802700,丹江口水库,1744560000000,6,152.01
544,0,汉江,61802700,丹江口水库,1744563600000,6,152.01
531,639,汉江,61802700,丹江口水库,1744567200000,6,152.01
532,0,汉江,61802700,丹江口水库,1744570800000,5,152.02
532,0,汉江,61802700,丹江口水库,1744574400000,4,152.01
532,0,汉江,61802700,丹江口水库,1744578000000,4,152
532,0,汉江,61802700,丹江口水库,1744581600000,5,152.01
533,0,汉江,61802700,丹江口水库,1744585200000,6,152.01
530,544,汉江,61802700,丹江口水库,1744588800000,6,152.01
525,0,汉江,61802700,丹江口水库,1744596000000,5,152.02
544,0,汉江,61802700,丹江口水库,1744599600000,6,152.02
505,0,汉江,61802700,丹江口水库,1744603200000,4,152.01
517,0,汉江,61802700,丹江口水库,1744606800000,6,152.01
515,545,汉江,61802700,丹江口水库,1744610400000,6,152.01
517,0,汉江,61802700,丹江口水库,1744614000000,6,152.01
689,0,汉江,61802700,丹江口水库,1744617600000,6,152.01
1060,0,汉江,61802700,丹江口水库,1744621200000,6,152.01
1060,0,汉江,61802700,丹江口水库,1744624800000,6,152.01
1080,0,汉江,61802700,丹江口水库,1744628400000,6,152.01
1090,895,汉江,61802700,丹江口水库,1744632000000,6,152.01
1090,0,汉江,61802700,丹江口水库,1744635600000,6,152.01
1090,0,汉江,61802700,丹江口水库,1744639200000,6,152.01
1080,0,汉江,61802700,丹江口水库,1744642800000,6,152.01
1090,0,汉江,61802700,丹江口水库,1744646400000,6,152.01
1090,0,汉江,61802700,丹江口水库,1744650000000,6,152.01
1090,1100,汉江,61802700,丹江口水库,1744653600000,6,152.01
1090,0,汉江,61802700,丹江口水库,1744657200000,6,152.01
1090,0,汉江,61802700,丹江口水库,1744660800000,6,152.01
1100,0,汉江,61802700,丹江口水库,1744664400000,6,152.01
1100,0,汉江,61802700,丹江口水库,1744668000000,6,152.01
1100,0,汉江,61802700,丹江口水库,1744671600000,6,152.01
1100,533,汉江,61802700,丹江口水库,1744675200000,4,151.93
557,0,汉江,61802700,丹江口水库,1744682400000,5,151.93
551,0,汉江,61802700,丹江口水库,1744686000000,4,151.92
547,0,汉江,61802700,丹江口水库,1744689600000,6,151.92
546,0,汉江,61802700,丹江口水库,1744693200000,6,151.92
548,107,汉江,61802700,丹江口水库,1744696800000,4,151.91
554,0,汉江,61802700,丹江口水库,1744700400000,4,151.9
568,0,汉江,61802700,丹江口水库,1744704000000,5,151.91
575,0,汉江,61802700,丹江口水库,1744707600000,4,151.9
583,0,汉江,61802700,丹江口水库,1744711200000,4,151.89
583,0,汉江,61802700,丹江口水库,1744714800000,5,151.9
586,301,汉江,61802700,丹江口水库,1744718400000,4,151.89
588,0,汉江,61802700,丹江口水库,1744722000000,5,151.9
583,0,汉江,61802700,丹江口水库,1744725600000,6,151.9
574,0,汉江,61802700,丹江口水库,1744729200000,6,151.9
561,0,汉江,61802700,丹江口水库,1744732800000,6,151.9
549,0,汉江,61802700,丹江口水库,1744736400000,6,151.9
549,918,汉江,61802700,丹江口水库,1744740000000,6,151.9
548,0,汉江,61802700,丹江口水库,1744743600000,6,151.9
549,0,汉江,61802700,丹江口水库,1744747200000,6,151.9
548,0,汉江,61802700,丹江口水库,1744750800000,6,151.9
548,0,汉江,61802700,丹江口水库,1744754400000,6,151.9
555,0,汉江,61802700,丹江口水库,1744758000000,6,151.9
556,561,汉江,61802700,丹江口水库,1744761600000,6,151.9
710,0,汉江,61802700,丹江口水库,1744768800000,5,151.9
573,0,汉江,61802700,丹江口水库,1744772400000,4,151.89
527,0,汉江,61802700,丹江口水库,1744776000000,4,151.88
848,0,汉江,61802700,丹江口水库,1744779600000,6,151.88
1070,181,汉江,61802700,丹江口水库,1744783200000,6,151.88
1070,0,汉江,61802700,丹江口水库,1744786800000,4,151.87
1090,0,汉江,61802700,丹江口水库,1744790400000,4,151.86
849,0,汉江,61802700,丹江口水库,1744794000000,6,151.86
891,0,汉江,61802700,丹江口水库,1744797600000,4,151.85
591,312,汉江,61802700,丹江口水库,1744848000000,6,151.83
1110,0,汉江,61802700,丹江口水库,1744855200000,6,151.82
864,0,汉江,61802700,丹江口水库,1744858800000,6,151.82
853,0,汉江,61802700,丹江口水库,1744862400000,6,151.82
843,0,汉江,61802700,丹江口水库,1744866000000,6,151.82
847,629,汉江,61802700,丹江口水库,1744869600000,6,151.82
862,0,汉江,61802700,丹江口水库,1744873200000,4,151.81
1100,0,汉江,61802700,丹江口水库,1744876800000,4,151.8
585,0,汉江,61802700,丹江口水库,1744880400000,5,151.81
588,0,汉江,61802700,丹江口水库,1744884000000,4,151.78
896,0,汉江,61802700,丹江口水库,1744887600000,6,151.78
1140,351,汉江,61802700,丹江口水库,1744891200000,5,151.79
1140,0,汉江,61802700,丹江口水库,1744894800000,6,151.79
897,0,汉江,61802700,丹江口水库,1744898400000,4,151.78
638,0,汉江,61802700,丹江口水库,1744902000000,6,151.78
575,0,汉江,61802700,丹江口水库,1744905600000,5,151.79
575,0,汉江,61802700,丹江口水库,1744909200000,4,151.77
575,531,汉江,61802700,丹江口水库,1744912800000,5,151.78
563,0,汉江,61802700,丹江口水库,1744916400000,6,151.78
563,0,汉江,61802700,丹江口水库,1744920000000,6,151.78
561,0,汉江,61802700,丹江口水库,1744923600000,4,151.77
569,0,汉江,61802700,丹江口水库,1744927200000,5,151.78
574,0,汉江,61802700,丹江口水库,1744930800000,6,151.78
575,296,汉江,61802700,丹江口水库,1744934400000,4,151.77
559,0,汉江,61802700,丹江口水库,1744941600000,6,151.77
