oq,rvnm,stcd,stnm,tm,wptn,z
10900,0,长江干流,60106980,三峡水库,1744311600000,4,159.17
10900,0,长江干流,60106980,三峡水库,1744315200000,4,159.13
10900,0,长江干流,60106980,三峡水库,1744318800000,4,159.1
10900,0,长江干流,60106980,三峡水库,1744322400000,5,159.14
10900,0,长江干流,60106980,三峡水库,1744326000000,5,159.17
10900,6900,长江干流,60106980,三峡水库,1744329600000,4,159.14
9750,0,长江干流,60106980,三峡水库,1744336800000,4,159.08
6710,0,长江干流,60106980,三峡水库,1744340400000,5,159.17
6660,0,长江干流,60106980,三峡水库,1744344000000,5,159.19
6630,0,长江干流,60106980,三峡水库,1744347600000,5,159.27
6620,7300,长江干流,60106980,三峡水库,1744351200000,4,159.2
9380,0,长江干流,60106980,三峡水库,1744354800000,4,159.08
11200,0,长江干流,60106980,三峡水库,1744358400000,4,159.02
11200,0,长江干流,60106980,三峡水库,1744362000000,4,158.96
11200,0,长江干流,60106980,三峡水库,1744365600000,4,158.95
11200,0,长江干流,60106980,三峡水库,1744369200000,4,158.94
11200,7300,长江干流,60106980,三峡水库,1744372800000,4,158.92
11300,0,长江干流,60106980,三峡水库,1744376400000,4,158.89
11300,0,长江干流,60106980,三峡水库,1744380000000,5,158.9
11300,0,长江干流,60106980,三峡水库,1744383600000,6,158.9
11300,0,长江干流,60106980,三峡水库,1744387200000,5,158.91
10900,0,长江干流,60106980,三峡水库,1744390800000,4,158.89
10900,7300,长江干流,60106980,三峡水库,1744394400000,4,158.88
10900,0,长江干流,60106980,三峡水库,1744398000000,4,158.85
10900,0,长江干流,60106980,三峡水库,1744401600000,4,158.81
10900,0,长江干流,60106980,三峡水库,1744405200000,5,158.83
10900,0,长江干流,60106980,三峡水库,1744408800000,5,158.84
10900,0,长江干流,60106980,三峡水库,1744412400000,4,158.82
10900,7300,长江干流,60106980,三峡水库,1744416000000,4,158.8
9620,0,长江干流,60106980,三峡水库,1744423200000,5,158.78
6670,0,长江干流,60106980,三峡水库,1744426800000,5,158.86
6650,0,长江干流,60106980,三峡水库,1744430400000,5,158.87
6640,0,长江干流,60106980,三峡水库,1744434000000,5,158.91
6620,7200,长江干流,60106980,三峡水库,1744437600000,4,158.88
9330,0,长江干流,60106980,三峡水库,1744441200000,4,158.77
10900,0,长江干流,60106980,三峡水库,1744444800000,4,158.72
10900,0,长江干流,60106980,三峡水库,1744448400000,4,158.65
10900,0,长江干流,60106980,三峡水库,1744452000000,4,158.6
10900,0,长江干流,60106980,三峡水库,1744455600000,4,158.59
10900,7200,长江干流,60106980,三峡水库,1744459200000,4,158.57
10900,0,长江干流,60106980,三峡水库,1744462800000,4,158.54
11000,0,长江干流,60106980,三峡水库,1744466400000,4,158.52
11000,0,长江干流,60106980,三峡水库,1744470000000,5,158.53
11000,0,长江干流,60106980,三峡水库,1744473600000,6,158.53
11000,0,长江干流,60106980,三峡水库,1744477200000,4,158.51
11000,7100,长江干流,60106980,三峡水库,1744480800000,6,158.51
11000,0,长江干流,60106980,三峡水库,1744484400000,4,158.48
11000,0,长江干流,60106980,三峡水库,1744488000000,4,158.44
11000,0,长江干流,60106980,三峡水库,1744491600000,5,158.45
11000,0,长江干流,60106980,三峡水库,1744495200000,4,158.43
11000,0,长江干流,60106980,三峡水库,1744498800000,4,158.42
11100,0,长江干流,60106980,三峡水库,1744506000000,4,158.38
6710,0,长江干流,60106980,三峡水库,1744513200000,5,158.49
6700,0,长江干流,60106980,三峡水库,1744516800000,5,158.54
6670,0,长江干流,60106980,三峡水库,1744520400000,5,158.56
6650,6900,长江干流,60106980,三峡水库,1744524000000,5,158.58
9480,0,长江干流,60106980,三峡水库,1744527600000,4,158.47
10900,0,长江干流,60106980,三峡水库,1744531200000,4,158.41
10900,0,长江干流,60106980,三峡水库,1744534800000,4,158.3
11000,0,长江干流,60106980,三峡水库,1744538400000,4,158.28
11000,0,长江干流,60106980,三峡水库,1744542000000,4,158.24
11000,6900,长江干流,60106980,三峡水库,1744545600000,4,158.2
11000,0,长江干流,60106980,三峡水库,1744549200000,4,158.17
11000,0,长江干流,60106980,三峡水库,1744552800000,4,158.16
